maso,name,idpic
TUBEL,Đèn Huỳnh Quang bóng dài,1aORza2SXrDDxF1nJL1263XBJVMZmTe0P
HPL,Đèn cao áp,1qcTv7DtJOcJ62yTETq-JiMeaCmnT9Kk6
CONT,Nối,1RNOpjEHhBeOvfaYdWHonkfJijM9GwnRD
MSB,Tủ Điện chính,1RNOpjEHhBeOvfaYdWHonkfJijM9GwnRD
FAN,Quạt giải nhiệt,1YVW9rYz4xuj5D1xAqTirdXTliKNjJilH
TAP,TAP_OFF UNIT,1hM6E-kxRbGG955KMo_mdbG5xv_bGoNO4
VECEL,CO lên,1-dkdwCxyKuQyv2Car9ILiij4rwUApxUY
HOELT,Co lên,1jVCjm7lvqhT_TGTrp3BDhhJtuUu4TxTF
DEN1,DEN 1,13GlOTJKpdpv2ShAn-sNdbvmcwUNNw0MB
CHVS,Van một chiều,13GlOTJKpdpv2ShAn-sNdbvmcwUNNw0MB
TP,Bơm chuyển,1IXRZDdevBT-wtU0bm5FT9mk-Mi6lX79o
HOOK,Móc áo,1PcKGEmxtvcJH3iPVZZFBybY51DCeNqXY
BGG,Cầu chắn rác (Balloon Gutter Guards),1PcKGEmxtvcJH3iPVZZFBybY51DCeNqXY
PRT,Bình giữ áp,1IjCL7fVWZAgO8dLo-5_5NcZ5rkgjkxk2
HSP,Vòi xịt,1fzfegmcWTf2gUahx7zYb3rEFAIpMDAI8
WH,Máy nước nóng,1fzfegmcWTf2gUahx7zYb3rEFAIpMDAI8
GLV,Van cầu,1Pj4qCr4aSIYyTeUYj4xoWH-sJld0VlKY
FDA,Phễu Thu sàn,1shSuy0pmyNvqPaivf-_M48ULx3xGk03q
GAV,Van cổng,1qsMKX3-M0lMP5ROi01vuzWa2EM558vp7
FVA,Van phao,1itA3PeM2qQ5-NyBtHWgfTl77m1se3_Pv
PRV,Van giảm áp,1cMr_9gcqKxU2zEHIlHWCu7nkwY1yKjVX
PHO,Hộp giấy,1mu2g92SxASAuKZg0Tq5UoEr2kUb1JuZh
PIPEI,Ống,1UpgNUDcKtQmEcsaACgAFSYNcmRsXNdL_
DWM,Máy rửa chén,1ix9RX8gzQPqyPkzKyPfB19z_O57etErm
BAV,Van bi,1doVbMMkjKkwnWhwMpL5xW-_c_5QqNfk5
NOZI,Đầu phun tưới cây,1lcEOZtiKlYHFmzUjeXs9_GCiWma1BXP6
MIRT,Kệ Gương,1W-_u3fWJQtmJdMJ_Pf1b2KZuZmmCMNgM
BUV,Van bướm,15x-U3VxjTfycOVPz27NUDGCHPMje9Mz8
CHV,Van một chiều,1t3cbj75D1ASk64O4H0bs7rrW0Mj0CpsI
HD,Máy sấy tay,1IfstnUutrjuPX7Os0fgOFAdolVMMGgrT
RD,Phễu thu nước mưa,1j-4auwca18pyx2c2asla4cuKQYvPXCqo
TAPI,Vòi tưới cây,1j-4auwca18pyx2c2asla4cuKQYvPXCqo
LSW,Công tắc mực nước,1pZaaDPgWQM0ghUysxKXZ4KMy3a7p_S2n
SD,Hộp xà phòng,1IkcGlRcFiDIH-q4opFWcAdD9dL8LXtMQ
TB,Thanh treo khăn,13EM4mU8fHdjQmf5PzGBf-6SVpCwm2S7h
SOM,Máy hút khói,1SG82DIEpe1wrR3CQaN5Z80JtqQkPnIXF
MIR,Gương,1gR0oF1T54rxuq74YbX7Qx8uPfA9nQM3t
SENI,Cảm biến mưa,1u7YRp3PeQByr_evgH8Efgzge8LwBiK6P
TANK,Bồn nước,1WakGy1pAOWkf67xr4x_7To_5wm23Bnvs
URV,Van xả bồn tiểu,1Mm3zClIUuBrm7rEU7YkbGpcTNT6d6ZNT
SHO,Kệ xà phòng,1O_QEE5KbW5fm_ohFQ6EjL3-86OhY6_mv
SPRV,Cụm van giảm áp,1GTrpNyNIIBM4B2-iVvYFrQ5_7Dy0_2tY
FOV,Van hút,1yPCHwV8VUt9sgnxZVP9VG1RDFvehgKVe
RVA,Van an toàn,1m7OSOvYYTBIjv0q6jqYKAIGzoMlgGj6H
BLV,Van cân bằng,1GR4MqE5fDsBCO2EXqAnrAjycTD2acQ5p
RJO,Khớp nối mềm,11_y9JUHHJyRsHDkaCAGJxW5tWRpVWie0
MOV,Van điện từ,1KAC2AY5KVc1PjGk89tJDhoe2B5Mmv5yg
HAM,Búa nước chống va đập,19fTD57U9_JmnL6A8uzIg2BWy0elgGMcQ
FLS,Công tắc dòng chảy,1tJ4ovs2wjUPpu82tAqYeZ-ZKASvfmaKG
AAV,Van xả khí,1OjDVFmxcLpOiupfaSsbXBv2YYQ0p95ld
YST,Y lọc,186KYB2WBMpMRZoubTKvWsYbXgNecXLAo
PRS,Công tắc Áp suất,1xDmblBkMBJ9Zl3xA3LxlcXupLQOf1sv1
FLG,Đồng hồ đo lưu lượng,1ODTwMooOLSqRZGHM6_yWJ5a2y6VXaZ54
BAVD,Van bi,1NLcxabGrHxUVNdvDXfrKaMyY2fVNVIiF
PIPED,Ống,1WwOVcNvnh4UyqmEWhp31EBK4JMEfaI-A
TG,Đồng hồ nhiệt độ,1HOuGJEjJBfrAuw9_oqeRrcSiA5LrVUHu
RJOD,Khớp nối mềm,1GzgkQRXoX6LZVoRfDwLlZJtHinj8cerH
WYEP,Y,1WX59FM0J2ZdSj-ygwfhGUepYdqguV-iB
WYES,Y,1f8rvlQKnijNar6iiys4ne8_N2lt-cMHy
FVAD,Van phao,1ZGMZxXVNG38uqdDFnX6u5fLv5l_apafP
TREDD,Tê giảm,1QCBW33HcFfrLdHra9tbA313pFcgEoG4I
TANKS,Bồn nước,1Fsz-SgTSJ5PWIKXYYalC2FGQRJRzXbr8
LSWI,Công tắc mực nước,1U69e8j3aqRVvpPWsX2NKFcg14Ibttbkl
NIPD,Nipple,1K-Aeh1jaMl-jm994cyJcAgZ4MYs8ND9y
COS,Thông tắc,1svbCjN7S7IZ83vvL5LMmnHUALhR9EeSU
ELBS,Co,1Piqsx3ysC5fv-5BWC_4wyEli0B7qxVP9
SWP,Bơm hồ bơi,1QYyFz9L955-ROdYQYVcu8F9GIWqs-80k
PHC,Bộ điều chỉnh PH,1VgQScqYAPB_RXiisnMW4pzXkaMvqJdOx
HEAT,Máy gia nhiệt,1glX1bp4WT82OBddUsojVErncZ13qazYs
WMI,Đồng hồ nước,1aOf3-xGDydxpSlfoc-2AIdgnHi6uB44F
PGI,Đồng hồ áp suất,13CHgxxjZF720OJguHjjO7KIlc4IGGwPD
YRES,Y giảm,1pi0gIlUZ8mxhU4LFnYAvcwdU5FNMnBof
TEES,Tê,1GwYyyn_Ox1XZ4Es5ZtfKVzyHbeY1hJS6
STMH,Hố ga thoát nước mưa,1XIQkW0GpC0roYoARDrTdnMMpMOB8UZcg
FVASW,Van phao,1pSR2wFm-5eeiMwxW4HW-Fx8fXvsqsRpd
PIPE,Ống,1RL_cCnfVLSfvcKAOiPIad0T2G4Ypq_AI
YRED,Y giảm,1stme2QYYFFKtCYc7v0Za_jUjUOW4HJxq
CO,Thông tắc,16x_j3qNlM1cZJUkhN_Z7cIEamF-51AYu
CB,Tủ điều khiển bơm,1pj1IpWbh140OphA3BRWbuP2vNJHNlFCY
PRSS,Công tắc Áp suất,1o846Yj7gFWYoQZK1k-78brSbH5BbjbCa
SLE,Sleeve,15l26gfM9MiRbkq_NMQjtV-PX7hzEKf9r
GAVI,Van cổng,1OBmMFlKGdZFSITS7RRZ1d8EFCsuiwvfb
FLADD,Bích Lồng,11fxWcv_lV7yJU2XD7rt0GSOyFesXmSvx
ELBD,Co,1fMsMwRbK3s3CTFicz5D3iE5zFdGgcuGY
TEED,Tê,1dRTVJNOkwJIs3a7P_-DgwQomQjc45oqJ
CHEMP,Bơm hóa chất,1UsSmSqfZwAc2T_3A4jYczEymGBp30oXj
WWP,Bơm nước thải,1D00QU1UUeqmN1kyL7zGg5GrvkFqK7KiP
LSWS,Công tắc mực nước,18jrUxH-dEb55jGAwCxVgucApPHCMd33b
ED,Bộ điện phân khử trùng,1eci_iTmocWptQKHGWyAKOuSex-a-jwx0
FT,Xi phon,1KoIsi8ahre66wraPnUZNrSa2nxGO5ifm
FOVI,Van hút,1Jkka6Gll4wKLGkHENVEnsgzvgriK7AHn
CHVD,Van một chiều,1PlJSH9oXJoumD9cKG9GFwpJ2UPkeMB0Z
BUSH,Cà rá,1p-cdVPkmf6wDoXSyulUOG52lk0OacXLQ
UNIS,Rắc Co sống,1991O7WMU7l_Gps4et_kkY-Uxz1EoRxPy
ABL,Máy thổi khí,1DTW248hIyGII65vyST5UFm0oIBwEjBmi
PIPSW,Ống,18kVqVraL-MY7QAU_sJZv85Tbg5rwHGCW
SN,Đầu phun nước,1rLih8jztF_D6e0TSfHdx99TJTH04bc5T
JP,Bơm phun áp lực,1zRjuJjAjIjKXOcu81yQgMOj2JH3DLWFl
CHVI,Van một chiều,1cw6ydEcv5H3tMo2FXjTJ7yHYiG1rYZhl
FVAI,Van phao,1xf9mzu_hKd486sWF38dA69iLlLkvwYdb
RJOI,Khớp nối mềm,1a8rvGpfSbWeiONJmX0Uv_W94UmYb-ScT
AAVI,Van xả khí,1N3eBWX0uRU_BmGssqFjqXrykpEo0H0Z7
PHS,Đầu dò PH,1f8ERLNEIeLkywtN5R_UIHyWvKKXFF3fp
RBSTP,Giỏ lọc rác,1qHMjF5GKxUr20ACqTWT5ihNYomuzSb8e
CHVSW,Van một chiều,19nDxFY8HBM7DIT1YGXw_NV4dk63DLJx0
PGS,Đồng hồ áp suất,1T6fuiO5Ddk00ERvP-MkXqdL1-4jnZDzU
IRTB,Hộp vòi tưới cây,1mjrustWT_LzdLFLvc1XPvBSKZcp6J6mq
EC,Nút bít,12EtoJ-LpK8rRcD1_BevrBLdS3KFyquwl
EC,Nút bít,12EtoJ-LpK8rRcD1_BevrBLdS3KFyquwl
FLSI,Công tắc dòng chảy,1vXhXBtCBswNaKJpx0h6ylQWbnL1Z3ojk
BB,Giá thể,1MKrI7McPCFn0llI4SDGa0GUcrgIbFOuy
BAVSW,Van bi,1Tt1omuvHLl0cN0boEfDD_951wKjTE-zw
PG,Đồng hồ áp suất,1YVSptekdOQ3XOfRLA0-ZZpOje7e4Y5Om
BAVI,Van bi,1c8cg0b_Xd2fhwrcyFpBCdfoBUWIrXR4C
NIPW,Nipple,12j0ZLryIpHLHzXe-j9kz1K1GUZUIgntI
COUS,Nối ,1pd6CrTeePTrcFNgCHB2j_gY7CpPdFNJh
MHC,Nắp bể tự hoại,1A-hEODZmn2vLXKAs6RSL6MUVP72X-UP8
PRTS,Bình giữ áp,1t-NgGI85dc10kW4DsS7C3PEduQSKILCZ
RJOSW,Khớp nối mềm,1Ymlm7R8CBquvxE28N68Eh6XXMCZ_b93p
IRRP,Bơm tưới cây,1nwZRWZPQ3kXPRpDhpsdtrqRg0BWgwCEY
MOVI,Van điện từ,10z03Lja21a9L-PqInRVfa3GcUE9UBJpM
TEE,Tê,12ScfRBVQX4kUGz5TFibRGXEqhhSIdMy1
REDD,Giảm,1lUijzSNaqi1yr2kwqa52htXspaywFTVQ
NIPS,Nipple,1iEAqu7EqlKKGV4jSrZzNmHqqGhSA6EZA
REDS,Giảm,1JNQpr0Av4ukDp4SB9VUt5kU7YXvfR1ul
TAPK,Vòi rửa bếp,1rWZPo5O18YZcGlayJPSatUsd9DX4HKWQ
TGS,Đồng hồ nhiệt độ,1WrhhBhmwh9HBY5UK3gv2R0XeG9qUpDyX
VN,Đầu hút chân không,160dbZLXrZOs8pkA1UUHau6QJjp_9B5OM
TRED,Tê giảm,1ySoVEF2VUlCMhK3pnByobcokaIOEnK1z
COU,Nối ,1dcecc5nxUgPRiihNB3ByTs5O6h2DdjSh
RM,Lưới chắn rác,1_8T9WgnZHrCtonhEeL28elJu7JMw0a1A
MUDP,Bơm bùn,1sU4jXazB-waPTrFC6Q4BctUhWKqh3GxA
GAVD,Van cổng,1AeXtVFKM6E0CezuhiDabKiPL5VkyS_Ql
SLE,Sleeve,15l26gfM9MiRbkq_NMQjtV-PX7hzEKf9r
UNIW,Rắc Co sống,15VrQAEu0UM8aF8OjSIPlvVHj0qyOWVyP
FLAW,Bích Lồng,1Z_3maxOcq9Ic8_YUbbgKK96zWy2tG8pI
PRSI,Công tắc Áp suất,1FDhPws6PJROV2afsrFWxSkr3X5ceseeh
FLA,Mặt bích,1D-ztSEwG8HAFP3KW3guTnhXcVn1ZO68L
UNID,Rắc Co sống,1zPZTah2fTCGPkK_y7R_Kpxfn6vrjTUBh
FLAD,Mặt bích,1gsGXg-XcUC5c7rkK7M8dad_xw4m7x0E_
COUD,Nối ,1TH58lEhvygXRNU72ZRbfPGYopF_FaSLd
MH,Hố ga thoát nước,1K0vJgqusfteTbxYsPgXh7Olr_cOPj_pA
TC,Nắp mương,1h5gM_6zWGfBOfTB-YuRQbndEp6mrlMR_
WMS,Đồng hồ nước,1U1bJlOPeIbIg2y2PziOZyFqjMfuqNcXm
GAVSW,Van cổng,1iK3JRxbsYUz-rBATPd4nPJ9ANqNAUSKP
PRTI,Bình giữ áp,10DUs1OtAABwFunMxQopF9rNXgWbNuDtA
REDU,Giảm,1ZkssH4Mx6N2mOGbgabKvFMge-HjyJLrG
